TID,INDHOLD
2008Q1,5475791
2008Q2,5482266
2008Q3,5489022
2008Q4,5505995
2009Q1,5511451
2009Q2,5515287
2009Q3,5519441
2009Q4,5532531
2010Q1,5534738
2010Q2,5540241
2010Q3,5543819
2010Q4,5557709
2011Q1,5560628
2011Q2,5564219
2011Q3,5566856
2011Q4,5579204
2012Q1,5580516
2012Q2,5584758
2012Q3,5587085
2012Q4,5599665
2013Q1,5602628
2013Q2,5605836
2013Q3,5608784
2013Q4,5623501
2014Q1,5627235
2014Q2,5634437
2014Q3,5639719
2014Q4,5655750
2015Q1,5659715
2015Q2,5668743
2015Q3,5678348
2015Q4,5699220
2016Q1,5707251
2016Q2,5717014
2016Q3,5724456
2016Q4,5745526
2017Q1,5748769
2017Q2,5756170
2017Q3,5760694
2017Q4,5778570
2018Q1,5781190
2018Q2,5785864
2018Q3,5789957
2018Q4,5806015
2019Q1,5806081
2019Q2,5811413
2019Q3,5814461
2019Q4,5827463
2020Q1,5822763
2020Q2,5824857
2020Q3,5825337
2020Q4,5837213
2021Q1,5840045
2021Q2,5843347
